TransactionID,CustomerID,ProductID,TransactionDate,Quantity,TotalValue,Price
T00001,C0199,P067,8/25/2024 12:38,1,300.68,300.68
T00112,C0146,P067,5/27/2024 22:23,1,300.68,300.68
T00166,C0127,P067,4/25/2024 7:38,1,300.68,300.68
T00272,C0087,P067,3/26/2024 22:55,2,601.36,300.68
T00363,C0070,P067,3/21/2024 15:10,3,902.04,300.68
T00442,C0188,P067,12/26/2024 14:40,1,300.68,300.68
T00490,C0195,P067,11/24/2024 11:49,3,902.04,300.68
T00536,C0008,P067,9/22/2024 6:13,1,300.68,300.68
T00564,C0157,P067,12/7/2024 17:57,3,902.04,300.68
T00631,C0130,P067,5/14/2024 23:14,2,601.36,300.68
T00727,C0051,P067,1/20/2024 4:52,3,902.04,300.68
T00729,C0075,P067,10/7/2024 6:38,2,601.36,300.68
T00797,C0155,P067,10/4/2024 20:42,2,601.36,300.68
T00002,C0092,P034,12/16/2024 3:31,2,434.1,217.05
T00063,C0088,P034,6/19/2024 7:16,2,434.1,217.05
T00093,C0109,P034,8/11/2024 4:10,4,868.2,217.05
T00127,C0041,P034,6/3/2024 21:07,4,868.2,217.05
T00270,C0101,P034,11/7/2024 2:48,3,651.15,217.05
T00358,C0154,P034,4/8/2024 20:47,1,217.05,217.05
T00518,C0200,P034,12/11/2024 3:05,4,868.2,217.05
T00546,C0049,P034,8/30/2024 6:42,1,217.05,217.05
T00982,C0103,P034,7/17/2024 3:25,1,217.05,217.05
T00003,C0028,P057,1/25/2024 14:28,4,958.8,239.7
T00013,C0183,P057,3/4/2024 22:09,4,958.8,239.7
T00017,C0087,P057,5/9/2024 3:52,4,958.8,239.7
T00046,C0190,P057,7/28/2024 6:29,4,958.8,239.7
T00091,C0200,P057,4/27/2024 19:06,1,239.7,239.7
T00161,C0055,P057,7/15/2024 7:02,2,479.4,239.7
T00184,C0188,P057,5/13/2024 7:24,2,479.4,239.7
T00218,C0148,P057,1/17/2024 19:40,3,719.1,239.7
T00417,C0035,P057,4/20/2024 22:54,3,719.1,239.7
T00492,C0120,P057,8/8/2024 5:40,3,719.1,239.7
T00605,C0017,P057,12/31/2023 3:27,4,958.8,239.7
T00615,C0145,P057,7/14/2024 7:45,2,479.4,239.7
T00619,C0028,P057,12/25/2024 9:53,2,479.4,239.7
T00703,C0092,P057,2/4/2024 0:31,3,719.1,239.7
T00962,C0188,P057,11/29/2024 19:49,2,479.4,239.7
T00004,C0004,P049,7/19/2024 10:56,4,591.8,147.95
T00105,C0087,P049,2/12/2024 8:14,3,443.85,147.95
T00136,C0010,P049,2/22/2024 18:44,2,295.9,147.95
T00237,C0065,P049,2/27/2024 22:16,2,295.9,147.95
T00239,C0132,P049,12/6/2024 19:03,2,295.9,147.95
T00310,C0068,P049,5/18/2024 5:03,2,295.9,147.95
T00470,C0123,P049,11/13/2024 17:36,1,147.95,147.95
T00551,C0018,P049,2/23/2024 13:28,3,443.85,147.95
T00563,C0064,P049,1/16/2024 18:52,1,147.95,147.95
T00567,C0121,P049,9/27/2024 23:40,2,295.9,147.95
T00620,C0041,P049,1/5/2024 18:43,4,591.8,147.95
T00650,C0070,P049,10/7/2024 14:56,4,591.8,147.95
T00818,C0161,P049,1/1/2024 3:54,1,147.95,147.95
T00923,C0173,P049,7/19/2024 10:31,1,147.95,147.95
T00970,C0132,P049,11/17/2024 6:14,4,591.8,147.95
T00005,C0150,P087,5/25/2024 17:44,2,580.34,290.17
T00037,C0176,P087,3/9/2024 4:58,4,1160.68,290.17
T00206,C0167,P087,5/5/2024 5:32,2,580.34,290.17
T00208,C0184,P087,8/14/2024 2:02,1,290.17,290.17
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
